Date/Time,Word Count,en,ko-KR
2025.12.05-03.07.36,165,0,165
2025.12.05-03.09.45,156,0,156
2025.12.05-03.11.42,148,0,148
2025.12.30-23.49.30,146,0,146
2025.12.31-00.06.40,144,61,144
2025.12.31-00.15.23,144,144,144
2026.01.01-00.14.12,148,144,148
2026.01.01-00.15.52,148,148,148
2026.01.17-17.37.58,147,144,147
2026.01.17-17.38.32,147,147,147
2026.02.03-22.58.10,110,94,110
2026.02.03-22.59.49,174,94,174
2026.02.03-23.01.38,160,94,160
2026.02.03-23.08.53,160,160,160
2026.02.04-14.48.47,169,160,169
2026.02.04-14.50.29,169,169,169
2026.02.15-13.29.43,179,169,179
2026.02.15-13.32.35,178,178,178
2026.02.17-14.31.28,182,178,182
2026.02.17-14.32.46,182,182,182
2026.02.17-14.39.50,182,181,182
2026.02.17-14.40.22,182,182,182
2026.02.17-14.41.49,181,179,181
2026.02.17-14.42.25,181,181,181
2026.02.27-13.49.16,188,181,188
2026.02.27-13.50.55,188,188,188
2026.03.23-11.48.44,198,188,198
2026.03.23-11.51.15,195,188,195
2026.03.23-11.53.32,195,195,195
